Voltage_ch_1 ,Capacity_ch_1, Voltage_dch_1, Capacity_dch_1,Voltage_ch_2,Capacity_ch_2, Voltage_dch_2, Capacity_dch_2,Voltage_ch_3,Capacity_ch_3, Voltage_dch_3, Capacity_dch_3,Voltage_ch_4,Capacity_ch_4, Voltage_dch_4, Capacity_dch_4,Voltage_ch_5,Capacity_ch_5, Voltage_dch_5, Capacity_dch_5,Voltage_ch_6,Capacity_ch_6, Voltage_dch_6, Capacity_dch_6,Voltage_ch_7,Capacity_ch_7, Voltage_dch_7, Capacity_dch_7,Voltage_ch_8,Capacity_ch_8, Voltage_dch_8, Capacity_dch_8,Voltage_ch_9,Capacity_ch_9, Voltage_dch_9, Capacity_dch_9,Voltage_ch_10,Capacity_ch_10, Voltage_dch_10, Capacity_dch_10,Voltage_ch_11,Capacity_ch_11, Voltage_dch_11, Capacity_dch_11,Voltage_ch_12,Capacity_ch_12, Voltage_dch_12, Capacity_dch_12,Voltage_ch_13,Capacity_ch_13, Voltage_dch_13, Capacity_dch_13,Voltage_ch_14,Capacity_ch_14, Voltage_dch_14, Capacity_dch_14,Voltage_ch_15,Capacity_ch_15, Voltage_dch_15, Capacity_dch_15,Voltage_ch_16,Capacity_ch_16, Voltage_dch_16, Capacity_dch_16,Voltage_ch_17,Capacity_ch_17, Voltage_dch_17, Capacity_dch_17,Voltage_ch_18,Capacity_ch_18, Voltage_dch_18, Capacity_dch_18,Voltage_ch_19,Capacity_ch_19, Voltage_dch_19, Capacity_dch_19,Voltage_ch_20,Capacity_ch_20, Voltage_dch_20, Capacity_dch_20,Voltage_ch_21,Capacity_ch_21, Voltage_dch_21, Capacity_dch_21
2.9704,0,3.3071,0,2.7568,0,3.3104,0,2.7535,0,3.3096,0,2.7562,0,3.3089,0,2.7666,0,3.3083,0,2.7884,0,3.3066,0,2.8055,0,3.3052,0,2.8497,0,3.3029,0,2.8496,0,3.3008,0,2.8638,0,3.2986,0,2.8711,0,3.2992,0,2.8852,0,3.2983,0,2.8976,0,3.2937,0,2.8977,0,3.2976,0,2.8996,0,3.2976,0,2.9058,0,3.2971,0,2.9074,0,3.2978,0,2.9278,0,3.3033,0,2.9557,0,3.2827,0,2.9573,0,3.2871,0,2.9606,0,3.2855,0
3.1354,0.1084,3.2604,0.1083,2.9723,0.1084,3.2621,0.1083,2.9709,0.1084,3.2621,0.1083,2.9717,0.1084,3.2623,0.1083,2.9767,0.1084,3.2628,0.1083,2.9879,0.1084,3.2614,0.1083,2.9966,0.1084,3.2601,0.1083,3.0269,0.1084,3.2533,0.1083,3.0292,0.1084,3.2514,0.1083,3.0408,0.1084,3.2468,0.1083,3.0451,0.1084,3.2471,0.1083,3.0548,0.1084,3.2452,0.1083,3.0714,0.1084,3.2348,0.1083,3.0674,0.1084,3.2419,0.1083,3.0719,0.1084,3.2375,0.1083,3.0918,0.1084,3.221,0.1083,3.0934,0.1084,3.2235,0.1083,3.1042,0.1084,3.2299,0.1083,3.1403,0.1084,3.2039,0.1083,3.1362,0.1084,3.2123,0.1083,3.1429,0.1084,3.2098,0.1083
3.1887,0.2167,3.2576,0.2166,3.0634,0.2167,3.2599,0.2167,3.0631,0.2167,3.2598,0.2167,3.0637,0.2167,3.2599,0.2167,3.0674,0.2167,3.2604,0.2167,3.0758,0.2167,3.2587,0.2167,3.0818,0.2168,3.2571,0.2167,3.1066,0.2168,3.2491,0.2166,3.1095,0.2168,3.2469,0.2166,3.1202,0.2168,3.2414,0.2166,3.1232,0.2168,3.2416,0.2166,3.1315,0.2168,3.2393,0.2166,3.1482,0.2168,3.227,0.2166,3.1433,0.2168,3.2349,0.2166,3.1487,0.2168,3.2296,0.2166,3.172,0.2168,3.21,0.2166,3.1734,0.2168,3.213,0.2166,3.1811,0.2168,3.2201,0.2166,3.2171,0.2168,3.1907,0.2166,3.2122,0.2168,3.2002,0.2166,3.2193,0.2168,3.1973,0.2166
3.2292,0.3251,3.2565,0.325,3.1263,0.3251,3.2593,0.325,3.1264,0.3251,3.2592,0.325,3.127,0.3251,3.2593,0.325,3.13,0.3251,3.2597,0.325,3.1368,0.3251,3.2579,0.325,3.1415,0.3251,3.2561,0.325,3.1631,0.3251,3.2477,0.325,3.1662,0.3251,3.2454,0.325,3.1762,0.3252,3.2395,0.3249,3.1785,0.3252,3.2397,0.3249,3.1859,0.3252,3.237,0.3249,3.2025,0.3252,3.224,0.3249,3.1971,0.3252,3.2321,0.3249,3.2029,0.3252,3.2264,0.3249,3.228,0.3252,3.2053,0.3248,3.2292,0.3252,3.2085,0.3249,3.2351,0.3252,3.2159,0.3249,3.2706,0.3252,3.1847,0.3248,3.2652,0.3252,3.1948,0.3249,3.2725,0.3252,3.1917,0.3249
3.2621,0.4334,3.2557,0.4333,3.1746,0.4334,3.2589,0.4333,3.175,0.4335,3.2588,0.4333,3.1755,0.4335,3.2588,0.4333,3.1781,0.4335,3.2592,0.4333,3.1839,0.4335,3.2573,0.4333,3.1877,0.4335,3.2555,0.4333,3.2071,0.4335,3.2468,0.4333,3.2104,0.4335,3.2445,0.4333,3.2199,0.4335,3.2385,0.4333,3.2217,0.4335,3.2386,0.4333,3.2284,0.4336,3.2358,0.4332,3.2448,0.4336,3.2224,0.4332,3.239,0.4336,3.2305,0.4332,3.245,0.4336,3.2247,0.4332,3.2711,0.4336,3.2028,0.4331,3.2721,0.4336,3.206,0.4332,3.2766,0.4336,3.2134,0.4332,3.3099,0.4336,3.1813,0.4331,3.304,0.4336,3.1917,0.4332,3.3101,0.4336,3.1883,0.4331
3.2876,0.5418,3.2551,0.5416,3.2137,0.5418,3.2586,0.5416,3.2142,0.5418,3.2584,0.5416,3.2146,0.5418,3.2583,0.5417,3.2169,0.5419,3.2587,0.5416,3.222,0.5419,3.2568,0.5416,3.2252,0.5419,3.2549,0.5416,3.2429,0.5419,3.2461,0.5416,3.2462,0.5419,3.2438,0.5416,3.2552,0.5419,3.2377,0.5416,3.2566,0.5419,3.2378,0.5416,3.2627,0.5419,3.2349,0.5416,3.2786,0.542,3.2212,0.5415,3.2726,0.542,3.2294,0.5415,3.2786,0.542,3.2234,0.5415,3.304,0.542,3.2011,0.5414,3.3039,0.542,3.2043,0.5415,3.3049,0.542,3.2116,0.5415,3.3324,0.542,3.1791,0.5414,3.3255,0.542,3.1895,0.5414,3.3301,0.542,3.1859,0.5414
3.3002,0.6501,3.2543,0.6499,3.2459,0.6502,3.2582,0.65,3.2465,0.6502,3.258,0.65,3.2467,0.6502,3.2579,0.65,3.2488,0.6502,3.2582,0.65,3.2532,0.6502,3.2563,0.65,3.2559,0.6503,3.2544,0.65,3.2716,0.6503,3.2453,0.6499,3.2745,0.6503,3.2431,0.6499,3.2823,0.6503,3.2369,0.6499,3.2829,0.6503,3.237,0.6499,3.2875,0.6503,3.234,0.6499,3.3008,0.6503,3.2203,0.6498,3.2945,0.6503,3.2284,0.6499,3.2998,0.6504,3.2224,0.6498,3.3222,0.6504,3.1997,0.6497,3.3202,0.6504,3.203,0.6497,3.3184,0.6504,3.2101,0.6498,3.344,0.6504,3.1773,0.6497,3.3367,0.6504,3.1877,0.6497,3.3411,0.6504,3.184,0.6497
3.306,0.7585,3.2537,0.7583,3.2704,0.7585,3.2577,0.7583,3.2708,0.7585,3.2575,0.7583,3.2707,0.7585,3.2574,0.7583,3.2721,0.7586,3.2576,0.7583,3.2746,0.7586,3.2557,0.7583,3.2762,0.7586,3.2537,0.7583,3.2871,0.7586,3.2447,0.7582,3.2892,0.7587,3.2424,0.7582,3.2953,0.7587,3.2362,0.7582,3.2952,0.7587,3.2363,0.7582,3.2987,0.7587,3.2332,0.7582,3.3108,0.7587,3.2195,0.7581,3.3042,0.7587,3.2274,0.7582,3.3095,0.7588,3.2214,0.7581,3.3314,0.7588,3.1985,0.758,3.329,0.7588,3.2017,0.758,3.3265,0.7587,3.2087,0.7581,3.352,0.7588,3.1758,0.7579,3.3447,0.7588,3.1861,0.758,3.3493,0.7588,3.1822,0.758
3.3104,0.8668,3.253,0.8666,3.2808,0.8669,3.2572,0.8666,3.2808,0.8669,3.257,0.8666,3.2804,0.8669,3.2568,0.8667,3.2813,0.867,3.2571,0.8666,3.2828,0.867,3.2551,0.8666,3.284,0.867,3.2531,0.8666,3.2937,0.867,3.244,0.8665,3.2957,0.867,3.2418,0.8666,3.3017,0.8671,3.2355,0.8665,3.3015,0.8671,3.2356,0.8665,3.3049,0.8671,3.2324,0.8665,3.317,0.8671,3.2186,0.8664,3.3103,0.8671,3.2265,0.8665,3.3157,0.8671,3.2205,0.8664,3.3379,0.8672,3.1974,0.8663,3.3356,0.8672,3.2006,0.8663,3.3332,0.8671,3.2074,0.8664,3.3588,0.8672,3.1745,0.8662,3.3517,0.8672,3.1847,0.8663,3.3566,0.8672,3.1806,0.8663
3.3145,0.9752,3.2523,0.9749,3.2855,0.9752,3.2567,0.9749,3.2855,0.9753,3.2564,0.975,3.2852,0.9753,3.2562,0.975,3.2861,0.9754,3.2565,0.9749,3.2876,0.9754,3.2544,0.9749,3.2888,0.9754,3.2523,0.9749,3.2983,0.9754,3.2433,0.9749,3.3005,0.9754,3.241,0.9749,3.3066,0.9755,3.2347,0.9748,3.3064,0.9755,3.2349,0.9748,3.3099,0.9755,3.2315,0.9748,3.3222,0.9755,3.2177,0.9747,3.3155,0.9755,3.2255,0.9748,3.321,0.9755,3.2196,0.9747,3.3436,0.9756,3.1963,0.9745,3.3416,0.9756,3.1994,0.9746,3.3394,0.9755,3.2061,0.9747,3.3653,0.9756,3.1732,0.9745,3.3583,0.9756,3.1833,0.9746,3.3634,0.9756,3.1791,0.9746
